TYPE,SIGNAL,MCU_PIN,HEADER_PIN
MOTION,X_STEP,PB6,25
MOTION,X_DIR,PB7,26
MOTION,X_ENA,PD0,51
MOTION,X_ALM,PE0,67
MOTION,Y_STEP,PB8,27
MOTION,Y_DIR,PB9,28
MOTION,Y_ENA,PD1,52
MOTION,Y_ALM,PE1,68
MOTION,Z_STEP,PA6,9
MOTION,Z_DIR,PB14,33
MOTION,Z_ENA,PD2,53
MOTION,Z_ALM,PE2,
MOTION,A_STEP,PC6,41
MOTION,A_DIR,PC7,42
MOTION,A_ENA,PD3,54
MOTION,A_ALM,PE3,
SAFETY,ESTOP,PE4,
SAFETY,PROBE,PG0,
ENCODER,ENC0_CH1,PB4,23
ENCODER,ENC0_CH2,PB5,24
ENCODER,ENC1_CH1,PA8,11
ENCODER,ENC1_CH2,PA9,12
ENCODER,ENC2_CH1,PA15,18
ENCODER,ENC2_CH2,PB3,22
ETH,ETH_REF_CLK,PA1,4
ETH,ETH_MDIO,PA2,5
ETH,ETH_CRS_DV,PA7,10
ETH,ETH_MDC,PC1,36
ETH,ETH_RXD0,PC4,39
ETH,ETH_RXD1,PC5,40
ETH,ETH_TX_EN,PB11,30
ETH,ETH_TXD0,PB12,31
ETH,ETH_TXD1,PB13,32
